city,Body Type,Kms_Driven,oem,model,modelYear,centralVariantId,variantName,price,Registration Year,Insurance Validity,Fuel Type,Seating Capacity,RTO,Ownership,Transmission,Mileage,Engine Displacement,Max Power,Color,Engine Type,Max Torque,No of Cylinder,Value Configuration,Fuel Supply System,BoreX Stroke,Compression Ratio,Turbo Charger,Super Charger,Length,Width,Height,Wheel Base,Front Tread,Rear Tread,Kerb Weight,Gross Weight,Gear Box,Drive Type,Steering Type,Turning Radius,Front Brake Type,Rear Brake Type,Top Speed,Acceleration,Tyre Type,No Door Numbers,Cargo Volumn,Alloy Wheel Size,Ground Clearance Unladen
3,8,59411,20,180,2017,7080,796,685000.0,104,5,4,5.0,345,1,0,21.21,12,646,116,291,44,4.0,3,49,37,6,0,0,3995,1735,1515,2450,1530,1520,1103,1490,8,5,4,4.8,5,7,170,12.6,26,4.0,378.0,3,184.0
3,8,17105,31,298,2016,1902,248,1205000.0,103,4,4,5.0,346,1,1,14.69,28,117,86,344,229,4.0,3,49,22,1,3,0,4659,1778,1453,2648,1535,1532,1354,1850,21,5,4,5.5,5,2,202,9.8,26,4.0,510.0,4,184.0
3,8,37100,20,163,2018,5720,184,975000.0,34,4,1,5.0,344,3,1,28.09,15,695,9,216,231,4.0,3,4,15,3,3,0,4490,1730,1485,2650,1495,1505,1135,1595,8,5,4,5.4,22,7,190,15.0,23,4.0,510.0,4,184.0
3,2,103211,9,89,2012,1568,1333,289000.0,28,4,4,5.0,351,3,1,20.36,12,636,116,319,33,4.0,4,49,22,7,0,0,3585,1595,1550,2380,1400,1385,930,1490,8,5,4,5.1,22,7,170,12.9,26,4.0,352.0,1,184.0
3,2,113543,20,184,2012,4350,1823,290000.0,171,4,4,5.0,8,3,1,18.9,148,551,138,289,593,3.0,3,49,37,6,0,0,3595,1495,1700,2400,1295,1290,885,1350,8,5,4,4.6,22,7,170,12.9,23,4.0,352.0,2,184.0
3,7,120000,17,138,2010,5651,1538,425000.0,8,4,1,7.0,19,3,1,12.05,83,122,8,496,357,4.0,3,4,37,6,3,0,4430,1817,1975,2680,1490,1495,2010,2510,8,10,4,5.6,5,7,170,12.9,26,5.0,352.0,4,184.0
3,8,99334,20,180,2012,4227,1767,407000.0,28,4,1,5.0,12,1,1,19.3,15,599,138,278,209,4.0,3,4,16,44,3,0,4160,1690,1530,2390,1470,1480,1105,1490,8,10,4,5.1,22,7,170,12.9,26,4.0,352.0,2,184.0
3,8,156126,6,52,2014,951,311,300000.0,31,2,1,5.0,345,1,1,25.01,45,711,116,380,237,4.0,8,72,37,6,3,0,4320,1764,1486,2489,1475,1462,1150,1490,8,5,4,5.2,28,19,160,14.3,26,4.0,430.0,3,184.0
3,7,68000,9,73,2017,1444,368,1195000.0,123,2,1,5.0,346,3,0,17.01,47,132,110,421,337,4.0,3,6,37,6,3,0,4270,1780,1630,2590,1490,1495,1320,1490,21,5,4,5.3,5,7,190,10.5,13,5.0,400.0,5,184.0
3,8,100000,8,59,2014,1166,1062,390000.0,12,4,4,5.0,344,3,1,18.0,13,685,86,476,16,4.0,8,49,37,6,0,0,3990,1680,1505,2405,1490,1495,940,1490,8,5,4,4.5,5,7,160,15.0,26,4.0,400.0,4,184.0
3,2,54000,9,82,2008,1709,1135,225000.0,113,4,4,5.0,23,1,1,18.9,3,519,110,278,605,4.0,8,49,7,62,0,0,3565,1525,1590,2380,1315,1300,854,1490,8,5,4,5.1,22,7,170,16.2,26,5.0,352.0,1,184.0
3,8,110000,20,181,2019,9005,194,650000.0,17,4,1,5.0,343,3,1,19.95,15,603,86,220,209,4.0,3,49,43,6,3,0,3995,1695,1555,2430,1485,1495,1103,1490,8,5,4,4.8,22,7,170,12.9,26,4.0,352.0,4,184.0
3,8,110000,5,43,2010,766,1045,250000.0,8,4,4,5.0,409,3,1,16.0,25,713,138,278,64,4.0,3,49,37,6,0,0,3995,1734,1530,2520,1490,1495,1103,1490,21,5,4,5.1,5,7,170,12.9,26,4.0,352.0,3,184.0
3,8,76000,9,86,2011,1830,250,475000.0,45,4,4,5.0,22,1,1,17.43,30,45,116,450,103,4.0,3,49,88,6,0,0,4375,1700,1475,2570,1490,1495,1140,1490,8,5,4,5.2,5,7,170,10.5,26,4.0,352.0,3,184.0
3,8,60000,24,228,2020,5577,1908,700000.0,18,4,1,5.0,346,3,1,22.71,36,670,86,313,234,4.0,8,7,37,6,3,0,4455,1695,1515,2600,1490,1495,1110,1490,8,5,1,5.3,5,7,175,15.0,26,4.0,490.0,4,184.0
3,2,71974,20,157,2017,3962,85,559000.0,86,4,4,5.0,345,1,1,21.4,12,661,116,455,62,4.0,3,49,37,6,0,0,3995,1745,1510,2520,1515,1525,870,1340,8,5,4,5.1,5,7,180,12.36,26,5.0,339.0,4,184.0
3,7,105562,20,183,2016,4299,2022,789000.0,121,4,1,5.0,344,1,1,24.3,15,695,116,218,231,4.0,3,6,13,6,3,0,3995,1790,1640,2500,1490,1495,1190,1680,8,5,4,5.1,22,7,172,12.36,26,5.0,328.0,4,184.0
3,7,110000,17,147,2015,3807,1863,950000.0,13,4,1,7.0,339,3,1,16.0,83,172,86,498,395,4.0,3,23,37,6,3,0,4585,1890,1785,2700,1490,1495,2010,2510,21,5,4,5.6,5,2,185,10.0,19,5.0,720.0,5,184.0
3,7,1330,20,159,2023,9183,2083,1297000.0,146,4,4,5.0,345,1,1,19.89,37,10,110,308,107,4.0,3,49,37,6,0,0,3995,1790,1685,2500,1490,1495,1140,1490,16,5,1,5.1,22,7,170,12.9,23,5.0,328.0,4,184.0
3,8,30973,8,59,2021,8554,1495,750000.0,213,4,4,5.0,345,3,1,18.6,14,694,110,473,32,4.0,8,49,37,6,0,0,3995,1695,1530,2470,1490,1495,1103,1490,8,5,1,4.7,5,7,170,12.9,5,4.0,420.0,4,184.0
3,2,100000,9,89,2011,1571,1647,330000.0,9,4,4,5.0,8,3,0,16.95,12,636,86,229,34,4.0,4,49,22,6,0,0,3585,1595,1550,2380,1400,1385,990,1490,5,5,4,5.1,22,7,170,12.9,26,4.0,352.0,1,184.0
3,2,9351,9,90,2018,5699,151,691000.0,87,4,4,5.0,344,1,1,18.6,12,647,116,320,53,4.0,3,49,37,6,0,0,3985,1734,1505,2570,1505,1503,1066,1490,8,5,4,5.2,5,7,170,13.2,13,5.0,295.0,4,184.0
3,7,46000,24,229,2017,3357,1911,775000.0,122,4,4,5.0,347,1,1,13.24,55,14,142,309,131,4.0,3,53,37,6,0,0,4331,2000,1671,2673,1560,1567,1320,1755,8,5,4,5.2,5,7,164,11.8,19,5.0,475.0,4,184.0
3,2,56133,20,155,2013,7073,1268,214000.0,222,4,4,5.0,8,3,1,22.05,141,482,138,251,562,3.0,3,49,37,6,0,0,3445,1515,1475,2360,1295,1290,755,1185,8,5,4,4.6,5,7,170,12.9,19,5.0,352.0,4,184.0
3,2,92370,20,156,2013,10332,1806,232000.0,171,2,4,5.0,9,1,1,24.39,148,531,116,296,588,3.0,3,49,37,6,0,0,3530,1490,1520,2380,1490,1495,755,1490,8,5,4,4.5,5,7,170,12.9,23,5.0,214.0,4,184.0
3,8,68000,30,282,2012,2191,1742,425000.0,65,2,4,5.0,8,1,1,17.6,43,646,116,278,593,4.0,3,49,37,6,0,0,3995,1734,1530,2520,1490,1495,920,1490,8,5,4,5.1,5,7,170,12.9,26,5.0,352.0,3,184.0
3,2,38313,20,156,2014,10332,1806,281000.0,119,4,4,5.0,346,1,1,24.39,148,531,138,296,588,3.0,3,49,37,6,0,0,3530,1490,1520,2380,1490,1495,755,1490,8,5,4,4.5,5,7,170,12.9,23,5.0,214.0,4,184.0
3,8,110000,29,278,2019,3013,1435,600000.0,17,4,1,5.0,363,1,1,22.95,15,606,86,348,207,4.0,3,6,37,6,3,0,3995,1706,1570,2470,1490,1495,1152,1490,8,5,4,5.1,5,7,158,15.0,26,4.0,390.0,4,184.0
3,8,10000,20,163,2021,7408,1009,950000.0,19,4,4,5.0,345,1,1,20.65,37,19,86,301,109,4.0,3,49,47,6,0,0,4490,1730,1485,2650,1490,1495,1105,1520,8,5,4,5.4,22,7,170,12.9,23,4.0,510.0,3,184.0
3,8,80000,9,86,2015,1832,407,600000.0,13,4,4,5.0,409,3,1,17.01,51,125,86,450,157,4.0,3,49,87,8,0,0,4375,1700,1475,2570,1490,1495,1260,1490,8,5,4,5.2,6,7,170,10.5,26,4.0,352.0,4,184.0
3,7,120000,24,229,2014,3363,1951,500000.0,12,4,1,5.0,339,4,1,19.01,36,65,55,310,296,4.0,3,6,37,6,3,0,4331,2000,1671,2673,1560,1567,1390,1787,21,5,4,5.2,5,7,168,13.0,19,5.0,475.0,4,184.0
3,8,90000,31,305,2015,2040,328,555000.0,13,4,1,5.0,345,3,1,20.34,45,21,55,381,312,4.0,3,23,81,6,3,0,4384,1699,1466,2552,1460,1498,1211,1750,8,5,4,5.4,5,7,186,11.94,26,4.0,352.0,3,184.0
3,8,87000,31,305,2012,2022,1372,449000.0,153,4,1,5.0,8,3,1,20.54,55,31,138,236,312,4.0,3,4,37,6,3,0,4384,1699,1466,2520,1490,1495,1233,1770,8,10,4,5.4,5,7,170,12.9,26,4.0,352.0,3,184.0
3,2,70000,20,157,2018,3969,175,640000.0,16,4,4,5.0,344,3,1,21.4,12,661,86,455,62,4.0,3,49,37,6,0,0,3995,1745,1510,2520,1505,1515,880,1340,8,5,4,5.1,5,7,180,12.36,26,5.0,339.0,4,184.0
3,2,53179,20,156,2014,10332,1806,263000.0,206,4,4,5.0,344,3,1,24.39,148,531,116,296,588,3.0,3,49,37,6,0,0,3530,1490,1520,2380,1490,1495,755,1490,8,5,4,4.5,5,7,170,12.9,23,5.0,214.0,4,184.0
3,7,48902,29,265,2020,6017,132,939000.0,143,4,4,5.0,345,1,1,17.0,13,68,57,354,170,3.0,3,49,92,6,3,0,3994,1811,1607,2498,1540,1530,1103,1490,21,5,4,5.1,5,7,154,11.64,16,5.0,350.0,4,209.0
3,8,90000,9,86,2012,1823,370,455000.0,10,4,1,5.0,409,4,0,22.32,47,134,116,445,337,4.0,3,4,37,6,0,0,4370,1700,1475,2570,1495,1502,1240,1490,3,5,4,5.2,5,2,170,12.9,26,4.0,352.0,3,184.0
3,2,45025,9,90,2019,6813,866,777000.0,228,4,4,5.0,344,1,0,17.4,12,648,9,320,66,4.0,3,49,37,6,0,0,3985,1734,1505,2570,1505,1503,1103,1490,8,5,4,5.2,5,7,151,16.18,13,5.0,285.0,4,184.0
3,2,22356,20,157,2017,5920,82,701000.0,70,4,4,5.0,347,1,0,21.4,12,661,9,455,62,4.0,3,49,37,6,0,0,3995,1745,1510,2520,1515,1525,935,1360,96,5,4,5.1,5,7,180,12.36,26,5.0,339.0,4,184.0
3,8,96000,9,86,2014,1827,401,625000.0,119,4,1,5.0,347,1,0,22.32,47,133,138,236,336,4.0,3,4,90,42,3,0,4370,1700,1475,2570,1490,1495,1280,1490,4,5,4,5.2,5,2,170,10.62,26,4.0,352.0,4,184.0
3,2,35564,20,160,2019,10357,2037,478000.0,106,2,4,5.0,344,3,1,25.24,148,531,116,296,588,3.0,3,49,37,6,0,0,3695,1655,1555,2435,1430,1440,810,1260,16,5,1,5.1,22,7,170,12.9,23,5.0,313.0,4,184.0
3,2,72632,5,45,2016,5279,189,465000.00000000006,121,4,1,5.0,344,1,1,20.3,15,621,57,334,219,4.0,3,23,37,6,3,0,3987,1687,1495,2510,1490,1495,980,1490,16,5,4,5.1,22,7,170,12.9,26,5.0,352.0,3,184.0
3,8,57349,30,282,2015,2175,1123,472000.0,207,2,4,5.0,344,1,1,16.78,43,698,84,344,98,4.0,3,30,37,6,0,0,4265,1695,1510,2550,1490,1495,935,1490,8,5,4,4.9,23,7,180,10.6,13,4.0,595.0,4,184.0
3,8,31915,8,59,2018,1155,1514,604000.0,141,2,1,5.0,346,1,1,25.8,45,751,116,471,231,4.0,3,6,37,6,3,0,3990,1680,1505,2405,1490,1495,1065,1490,8,5,4,4.7,5,7,140,17.0,26,4.0,400.0,4,184.0
3,8,80000,32,308,2012,2066,979,1050000.0,46,4,1,5.0,8,1,0,13.2,94,373,66,266,475,5.0,3,49,37,6,3,0,4628,1865,1484,2776,1588,1585,1670,1490,111,4,4,5.75,22,25,170,7.7,26,4.0,352.0,6,184.0
3,2,44094,20,184,2010,4350,1823,273000.0,219,2,4,5.0,8,1,1,18.9,148,551,116,289,593,3.0,3,49,37,6,0,0,3595,1495,1700,2400,1295,1290,885,1350,8,5,4,4.6,22,7,170,12.9,23,4.0,352.0,2,184.0
3,4,236000,30,289,2008,2301,576,499000.0,113,4,1,8.0,8,1,1,12.8,99,15,14,278,221,4.0,3,4,37,6,0,0,3995,1734,1530,2520,1510,1510,1670,2300,8,5,4,5.1,22,7,151,17.5,26,5.0,352.0,3,184.0
3,8,75000,9,86,2008,1797,931,299000.0,131,4,1,5.0,23,1,1,16.8,41,76,138,278,278,4.0,3,4,64,46,0,0,4310,1695,1490,2500,1490,1495,1173,1650,8,5,4,5.1,22,5,185,11.2,26,4.0,352.0,2,184.0
3,8,92000,28,247,2009,3068,448,425000.0,218,4,1,5.0,20,1,0,17.0,64,47,86,278,307,4.0,8,23,37,6,3,0,4569,1769,1485,2578,1490,1495,1335,1995,21,5,4,5.1,5,2,170,12.9,26,4.0,352.0,3,184.0
3,2,148914,29,258,2004,2503,999,194000.0,76,3,1,5.0,23,3,1,13.5,33,646,57,278,593,4.0,3,49,37,6,0,0,3995,1734,1530,2520,1490,1495,1050,1490,8,5,4,5.1,5,7,170,12.9,26,5.0,352.0,1,184.0
3,2,48000,20,176,2020,7174,1819,499000.0,125,4,4,5.0,344,1,0,21.7,148,545,138,292,593,3.0,3,49,35,16,0,0,3565,1520,1564,2380,1490,1495,1103,1170,93,5,4,4.5,22,7,170,12.9,23,5.0,352.0,4,184.0
3,8,33600,8,59,2018,6416,1502,750000.0,227,2,1,5.0,347,1,1,27.4,45,745,108,471,231,4.0,3,6,37,6,3,0,3995,1695,1501,2470,1490,1495,1010,1490,8,5,4,4.9,5,7,140,17.0,26,4.0,420.0,4,184.0
3,8,68950,30,295,2018,7292,1126,724000.0,71,2,4,5.0,344,3,0,17.8,43,46,86,70,118,4.0,3,30,37,6,0,0,4425,1730,1495,2550,1490,1495,1103,1580,47,5,4,5.1,5,7,170,12.9,31,4.0,476.0,3,184.0
3,2,47763,20,184,2012,4350,1823,300000.0,65,4,4,5.0,23,1,1,18.9,148,551,116,289,593,3.0,3,49,37,6,0,0,3595,1495,1700,2400,1295,1290,885,1350,8,5,4,4.6,22,7,170,12.9,23,4.0,352.0,2,184.0
3,4,8368,27,243,2022,7419,1451,800000.0,214,4,4,7.0,345,1,1,20.0,149,584,138,278,608,3.0,3,53,37,6,0,0,3991,1739,1643,2520,1547,1545,947,1490,8,5,1,5.1,5,7,170,12.9,23,5.0,84.0,4,184.0
3,7,51897,29,265,2018,10014,1972,810000.0,71,4,1,5.0,348,1,1,23.22,44,86,116,103,339,4.0,3,49,37,6,3,0,3993,1811,1606,2498,1490,1495,1330,1490,31,5,1,5.1,5,7,170,12.9,26,5.0,350.0,4,184.0
3,8,40274,8,59,2014,1168,1517,459000.0,30,4,4,5.0,23,3,1,18.0,13,685,116,476,16,4.0,8,49,37,6,0,0,3990,1680,1505,2405,1490,1495,950,1490,8,5,4,4.5,5,7,160,15.0,26,4.0,400.0,4,184.0
3,8,90000,1,14,2012,242,675,750000.0,10,4,1,5.0,108,1,0,18.88,74,309,86,236,439,4.0,3,6,37,6,3,0,4624,2031,1429,2810,1543,1583,1500,1490,68,7,4,5.5,5,2,235,7.4,26,4.0,480.0,5,184.0
3,2,62648,20,179,2016,10403,1806,497000.0,174,2,4,5.0,344,1,1,22.38,12,694,110,287,45,4.0,3,49,37,6,0,0,3845,1735,1530,2450,1530,1530,1103,1335,16,5,1,4.8,5,7,170,12.9,5,5.0,268.0,4,184.0
3,2,58448,20,157,2017,3962,85,577000.0,209,2,4,5.0,344,1,1,21.4,12,661,9,455,62,4.0,3,49,37,6,0,0,3995,1745,1510,2520,1515,1525,870,1340,8,5,4,5.1,5,7,180,12.36,26,5.0,339.0,4,184.0
3,2,40000,9,78,2022,7089,1333,670000.0,20,4,4,5.0,370,1,1,20.7,12,648,8,35,41,4.0,3,49,37,6,0,0,3805,1680,1520,2450,1490,1495,1100,1490,16,5,1,5.1,5,7,170,12.9,23,5.0,352.0,4,184.0
3,7,88695,6,50,2017,892,312,690000.0,140,4,1,5.0,346,1,1,22.77,45,744,86,380,239,4.0,8,23,39,30,3,0,3999,1765,1708,2520,1519,1524,1240,1490,8,5,4,5.3,22,7,182,13.5,26,5.0,346.0,4,184.0
3,7,20000,16,122,2021,7632,1609,1700000.0,19,4,1,5.0,345,1,1,17.41,67,251,86,278,418,4.0,3,49,37,6,3,0,4655,1835,1760,2750,1490,1495,1860,1490,21,5,4,5.1,5,2,170,12.9,0,5.0,587.0,5,184.0
3,8,99840,29,278,2014,3018,1438,252000.0,190,3,1,5.0,344,1,1,20.65,15,702,138,348,207,4.0,3,6,37,6,3,0,3995,1706,1570,2470,1490,1495,1155,1490,8,5,4,5.1,5,7,158,15.0,26,4.0,390.0,3,184.0
3,2,120000,31,300,2012,1954,1025,294000.0,10,4,1,5.0,8,3,1,22.07,14,600,86,276,195,3.0,3,4,37,6,0,0,3970,1682,1453,2456,1490,1495,1145,1490,8,5,4,4.97,5,7,170,14.4,26,5.0,352.0,3,184.0
3,8,10000,9,86,2023,9751,1571,1900000.0,21,4,4,5.0,409,1,1,20.0,39,217,8,100,329,4.0,3,49,37,6,3,0,4535,1765,1475,2670,1490,1495,1269,1490,37,5,1,5.1,5,7,170,12.9,23,4.0,352.0,4,184.0
3,8,20000,8,59,2018,1158,1500,700000.0,16,4,4,5.0,344,1,0,18.1,14,705,86,476,32,4.0,8,53,37,6,0,0,3990,1680,1505,2405,1490,1495,985,1490,8,5,4,4.7,5,7,140,15.0,26,4.0,400.0,4,184.0
3,8,31000,8,63,2021,5630,2111,1350000.0,179,4,4,5.0,345,1,0,18.0,44,106,138,469,135,4.0,8,69,37,5,0,0,4440,1695,1495,2600,1475,1465,1107,1482,96,5,4,5.3,22,7,178,11.9,26,4.0,510.0,4,184.0
3,2,93407,29,273,2018,2983,129,470000.0,35,2,4,5.0,358,3,1,23.84,14,672,138,355,54,3.0,3,53,80,11,0,0,3746,1647,1535,2400,1400,1420,1012,1490,8,5,4,5.1,5,7,150,14.3,13,5.0,242.0,2,184.0
3,2,75932,20,179,2011,10402,1268,320000.0,187,2,4,5.0,9,3,1,22.38,12,694,116,287,45,4.0,3,49,37,6,0,0,3845,1735,1530,2450,1530,1530,1103,1335,16,5,1,4.8,5,7,170,12.9,5,5.0,268.0,4,184.0
3,2,44000,31,300,2015,1941,1156,650000.0,224,2,4,5.0,344,1,0,17.21,12,32,57,393,185,4.0,3,23,55,6,3,0,3971,1682,1469,2469,1460,1456,1109,1580,44,5,4,4.97,5,7,177,10.61,26,5.0,280.0,4,184.0
3,2,62936,9,81,2019,6670,1646,529000.0,160,4,4,5.0,345,1,0,20.3,3,569,110,30,616,4.0,3,49,37,6,0,0,3610,1645,1560,2400,1463,1481,1050,1490,8,5,4,5.1,5,7,170,12.9,26,5.0,235.0,4,184.0
